inventor_id,name,country
fl:ke_ln:jeffcoat-2,Keith Jeffcoat,
fl:ch_ln:ulrich-1,Christoph Ulrich,
fl:ke_ln:kim-115,Kevin Weejoung Kim,
fl:eu_ln:kim-77,Eun Kyung Kim,
fl:ma_ln:sperling-4,Matthew Niven Sperling,
000ua1xlntucefomeaptsceea,"William Mark Flintoff, Jr.",
fl:da_ln:weitz-1,David A. Weitz,US
fl:be_ln:pelletier-5,Benoit Pelletier,
fl:jo_ln:lee-390,Jong S. Lee,US
fl:sh_ln:nakamura-89,Shigeru Nakamura,
fl:jo_ln:daniel-22,John Daniel,
fl:ke_ln:ito-37,Kenji Ito,
fl:st_ln:sigurjonsson-3,Styrmir Sigurjonsson,US
fl:gi_ln:yuval-1,Gideon A. Yuval,
fl:ja_ln:lee-305,James S. W. Lee,
fl:da_ln:johnston-32,David F. Johnston,US
fl:ro_ln:macneill-1,Robert MacNeill,
fl:al_ln:watfa-1,Allie K. Watfa,
fl:yi_ln:zheng-23,Ying Zheng,
fl:ch_ln:wu-293,Chia-Chin Wu,
fl:ma_ln:stocker-3,Mark Andrew Stocker,
fl:an_ln:mansencal-1,Antoine Mansencal,
fl:yo_ln:kobayashi-77,Youhei Kobayashi,JP
fl:fr_ln:duhay-1,Francis G. Duhay,US
fl:hu_ln:thompson-4,Hugh A. Thompson,
fl:ji_ln:lee-73,Ji Hyun Lee,
fl:fl_ln:cosandier-1,Florent Cosandier,
fl:ra_ln:wynn-2,"Ray Wynn, Jr.",
fl:ma_ln:tell-2,Mayo B. Tell,
fl:ki_ln:kovi-1,Kiran Kumar Kovi,
fl:hi_ln:iimura-1,Hiroshi Iimura,
fl:ga_ln:rayburn-1,Gary L. Rayburn,
fl:ma_ln:kupryushkin-1,Maxim Kupryushkin,
fl:jo_ln:mola-2,Jordi Mola,
fl:ni_ln:stebbins-2,Nicholas David Stebbins,US
fl:we_ln:ji-29,Wei Ji,US
fl:he_ln:candello-1,Heloisa Caroline De Souza Pereira Candello,
fl:ro_ln:chaput-3,Robert Chaput,
fl:jo_ln:kim-196,Jong Ho Kim,
fl:to_ln:edwards-1,Todd S. Edwards,
fl:jo_ln:baldridge-2,John W. Baldridge,US
fl:ji_ln:wu-468,Jianlong Wu,
fl:ju_ln:barthelme-3,Juergen Barthelme,
fl:to_ln:woolf-1,Tod M. Woolf,US
fl:sh_ln:vandermerwe-1,Shawn Van Der Merwe,
fl:ji_ln:gu-59,Ji-An Gu,
fl:al_ln:knoch-2,Alexander Knoch,
fl:jo_ln:kang-44,Jong Hyuk KANG,
fl:pe_ln:silbernagel-1,Peter Silbernagel,
fl:ri_ln:beaver-4,Richard James Beaver,
fl:da_ln:mies-1,David Mies,
fl:yo_ln:ling-1,Youguo LING,
fl:ku_ln:chen-263,Kuei-Yuan Chen,
fl:ma_ln:yamada-53,Masataka Yamada,
fl:hi_ln:uemura-17,Hiroshi Uemura,
fl:ch_ln:cheng-471,Chi Wah Cheng,
fl:os_ln:sengoku-1,Osamu Sengoku,
fl:ma_ln:kern-24,Manfred Kern,
fl:ho_ln:zhang-135,Hongrong Zhang,
fl:di_ln:haerle-1,Dieter Haerle,
fl:hy_ln:kwon-188,Hyuk Joon Kwon,US
fl:ak_ln:yokawa-1,Akira Yokawa,
fl:ti_ln:jrgensen-2,Tino Dyhring Jørgensen,
fl:na_ln:kim-43,Nam Gyu Kim,
fl:to_ln:nishimoto-3,Tomohisa Nishimoto,
fl:jo_ln:carter-28,John L. Carter,
fl:pe_ln:tu-11,Peter Tu,
fl:ha_ln:takeda-7,Haruo Takeda,JP
fl:ch_ln:shimizu-8,Chiyuki Shimizu,
fl:fr_ln:coms-1,Frank D. Coms,
fl:tu_ln:le-27,Tuan D. Le,
fl:ya_ln:lai-18,Ya-Chieh Lai,
fl:ge_ln:davis-46,George Davis,
fl:sh_ln:yokoyama-2,Shigeyuki Yokoyama,JP
fl:h._ln:morgan-1,H. William Morgan,
fl:li_ln:gardner-3,Linda S. Gardner,
fl:hi_ln:yamaguchi-20,Hideaki Yamaguchi,
fl:pe_ln:huse-1,Per Huse,
fl:yu_ln:takita-5,Yutaka Takita,JP
fl:ja_ln:staron-3,James A. Staron,US
fl:ch_ln:chen-208,Chieh-Fang Chen,
fl:th_ln:young-20,Thomas Young,
fl:al_ln:bourdais-1,Aline Bourdais,
fl:pa_ln:thayer-6,Paul R. Thayer,
fl:gu_ln:sandhu-15,Gurtej S. Sandhu,
fl:ru_ln:seiber-2,Russell A. Seiber,
fl:ni_ln:chavoshi-1,Nikan Chavoshi,
fl:je_ln:canady-1,Jerome Canady,
fl:ga_ln:elder-1,Garry Elder,
fl:mi_ln:son-34,Min Su SON,
fl:th_ln:strasserkrauss-1,Thomas Strasser-Krauss,
fl:jo_ln:tuttle-6,John R. Tuttle,
fl:te_ln:tanimoto-5,Tetsurou Tanimoto,
fl:ed_ln:peire-1,Eduardo Peire,
fl:je_ln:choi-156,Jeong Choi,
fl:ha_ln:sakaguchi-1,Haruo Sakaguchi,
fl:sh_ln:iwahara-1,Shojiro Iwahara,
fl:yo_ln:ogawa-15,Yoshihiko Ogawa,JP
fl:ya_ln:ma-108,Yanzhuo Ma,
fl:ch_ln:hayashi-10,Chihiro Hayashi,
fl:lu_ln:pavesi-1,Luciana Pavesi,
fl:yu_ln:fujiwara-9,Yuji Fujiwara,
fl:er_ln:stern-6,Erica Stern,
fl:ku_ln:yamamoto-12,Kunitoshi YAMAMOTO,JP
fl:me_ln:beveridge-1,Meredith Beveridge,
fl:ch_ln:garg-4,Chaya Garg,
fl:ro_ln:seymour-10,Robert John Seymour,
